geoid,name,stcoid
900104720,Bethel,9001
900108070,Bridgeport,9001
900108980,Brookfield,9001
3628990,Gilgo,36103
3402500070,Aberdeen,34025
3601011,Albertson,36059
3401900550,Alexandria,34019
3404100670,Allamuchy,34041
3400300700,Allendale,34003
3402500730,Allenhurst,34025
3402500760,Allentown,34025
3404101030,Alpha,34041
3400301090,Alpine,34003
3601594,Amagansett,36103
3602701693,Amenia,36027
3602044,Amityville,36103
3403701360,Andover,34037
3403701330,Andover,34037
900901220,Ansonia,9009
3602374,Aquebogue,36103
3402501960,Asbury Park,34025
3602737,Asharoken,36103
3602968,Atlantic Beach,36059
3402502110,Atlantic Highlands,34025
3402502440,Avon-by-the-Sea,34025
3610304000,Babylon,36103
3603408,Babylon,36103
3604055,Baiting Hollow,36103
3604143,Baldwin,36059
3604154,Baldwin Harbor,36059
900502760,Barkhamsted,9005
3402903050,Barnegat,34029
3402903130,Barnegat Light,34029
3604550,Barnum Island,36059
3604803,Baxter Estates,36059
3402903520,Bay Head,34029
3401703580,Bayonne,34017
3604891,Bay Park,36059
3604913,Bayport,36103
3604935,Bay Shore,36103
3605034,Bayville,36059
3605039,Baywood,36103
3402903940,Beach Haven,34029
3402904180,Beachwood,34029
3602705100,Beacon,36027
900903250,Beacon Falls,9009
3611905320,Bedford,36119
3403504450,Bedminster,34035
3602705452,Beekman,36027
3605639,Bellerose,36059
3605661,Bellerose Terrace,36059
3605672,Belle Terre,36103
3401304695,Belleville,34013
3605738,Bellmore,36059
3605771,Bellport,36103
3402504930,Belmar,34025
3404104990,Belvidere,34041
3400305170,Bergenfield,34003
3402905305,Berkeley,34029
3403905320,Berkeley Heights,34039
3403505590,Bernardsville,34035
900904580,Bethany,9009
3610506310,Bethel,36105
3401905650,Bethlehem,34019
900504930,Bethlehem,9005
3606387,Bethpage,36059
3404106160,Blairstown,34041
3401306260,Bloomfield,34013
3403106340,Bloomingdale,34031
3607107003,Blooming Grove,36071
3401906370,Bloomsbury,34019
